,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,EFF_PER_GAME
76,1628370,77,Malik Monk,1610612758,SAC,65,2054,412,939,0.439,139,428,0.325,154,178,0.865,30,215,245,362,61,38,159,158,1117,1113,2.28,0.38,17.123076923076923
77,1642274,78,Yves Missi,1610612740,NOP,72,1937,265,486,0.545,0,1,0.0,126,201,0.627,252,344,596,99,37,98,81,145,656,1109,1.22,0.46,15.402777777777779
78,1629651,79,Nic Claxton,1610612751,BKN,67,1824,306,549,0.557,3,19,0.158,77,150,0.513,153,354,507,153,59,99,86,147,692,1108,1.78,0.69,16.53731343283582
79,202710,80,Jimmy Butler III,1610612744,GSW,51,1612,276,555,0.497,29,98,0.296,291,348,0.836,121,163,284,272,70,17,72,50,872,1107,3.78,0.97,21.705882352941178
80,1631101,81,Shaedon Sharpe,1610612757,POR,71,2217,486,1081,0.45,141,460,0.307,185,232,0.797,66,251,317,193,60,16,145,119,1298,1097,1.33,0.41,15.450704225352112
81,1641739,82,Toumani Camara,1610612757,POR,75,2460,313,678,0.462,128,341,0.375,88,122,0.721,168,266,434,166,112,49,108,224,842,1096,1.54,1.04,14.613333333333333
82,1630530,83,Trey Murphy III,1610612740,NOP,53,1854,381,839,0.454,158,438,0.361,204,230,0.887,47,221,268,188,56,39,103,112,1124,1088,1.82,0.54,20.528301886792452
83,1629656,84,Quentin Grimes,1610612755,PHI,73,1948,377,792,0.476,159,402,0.396,154,204,0.755,57,249,306,217,72,21,135,136,1067,1083,1.61,0.53,14.835616438356164
84,1629661,85,Cameron Johnson,1610612751,BKN,57,1800,355,747,0.475,159,408,0.39,201,225,0.893,54,193,247,194,53,25,99,104,1070,1074,1.96,0.54,18.842105263157894
85,1631097,86,Bennedict Mathurin,1610612754,IND,69,2058,375,810,0.463,95,274,0.347,261,312,0.837,81,287,368,130,44,24,130,155,1106,1056,1.0,0.34,15.304347826086957
